,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
527,La Pampa,1001-2000,Otras industrias,8592,7362,1300,5477,1608,,"Elixir,R,Rust",".NET Core,Spark",ProxySQL,"HP UFT,PHPUnit","Android Studio,Vi,Visual Studio","Abono de celular,Abono de Internet,Cuota para universidad / posgrados,Horarios flexibles"
528,GBA,201-500,Otras industrias,8186,6703,5984,8251,2974,,".NET,Clojure","Bootstrap,Flutter,Vue.js","Aerospike,Amazon RDS/Aurora,Cassandra,HANA","HP LoadRunner,JUnit,Ranorex,Watir","Atom,Coda,RStudio,Vim,WebStorm","Clases de idiomas,Stock options / RSUs"
529,Mendoza,11-50,Otras industrias,2139,2834,5555,7381,1004,"Heroku,Microcontroladores,Mainframe","COBOL,Elixir,PHP,Ruby,VBA","jQuery,React.js","Amazon DynamoDB,Informix,Oracle","Jest,Postman,Test Complete",Visual Studio Code,Descuento en gimnasios / Clases de gimnasia online
530,Corrientes,1 (solamente yo),Producto basado en Software,1455,2958,3820,9366,7193,Windows Server,"C#,Java,Objective-C,R,VBA","Node.js,Torch",Apache HBase,"NUnit,PHPUnit,Test Complete,Watir","Eclipse,PyCharm,Vim","Abono de Internet,Stock options / RSUs,Vacaciones flexibles (adicionales a las reglamentarias)"
531,Santa Cruz,5001-10000,Producto basado en Software,3019,9887,4537,6004,9443,"AIX,Amazon Web Services,Linux","ABAP,Java,R,Solidity,VBA",".NET Core,Cordova,React.js","HANA,MariaDB,Neo4j,Oracle,ProxySQL,Redis",Appium,,
532,Mendoza,1001-2000,Otras industrias,3621,325,1044,3366,8704,VMWare,"Rust,SQL",Hadoop,"Amazon Redshift,Cassandra,Percona XtraBackup",Katalon,,"Horarios flexibles,Viáticos"
533,Tierra del Fuego,501-1000,Otras industrias,892,5585,908,955,5716,VMWare,"C,C++,Dart,Java,Objective-C,Smalltalk,VBA","Cordova,Django,Laravel","Percona XtraBackup,PostgreSQL,ProxySQL,SQLite","HP LoadRunner,Postman,Ranorex,Watir",Nano,"Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
534,Córdoba,201-500,Servicios / Consultoría de Software / Digital,4662,8512,1942,2405,2158,,"C#,COBOL,Erlang,Java,Scala",".NET Core,Hadoop,Laravel","Amazon Redshift,MySQL,Sybase","Cypress,HP LoadRunner,PHPUnit,Telerik Studio","Coda,Emacs,NetBeans,Visual Studio",
535,Neuquén,201-500,Servicios / Consultoría de Software / Digital,4305,6603,6012,8502,4746,IBM Cloud / Watson,Swift,"Django,Hibernate","Aerospike,Amazon DynamoDB,MariaDB",HP LoadRunner,"Komodo,RStudio",Viáticos
536,Tierra del Fuego,501-1000,Servicios / Consultoría de Software / Digital,2630,5292,6294,1035,1165,Mainframe,".NET,COBOL,Python","Drupal,Flutter,Hadoop,Laravel,Node.js,Symfony,TensorFlow","Amazon Redshift,Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc)","HP UFT,Katalon",Komodo,Vacaciones flexibles (adicionales a las reglamentarias)
537,La Pampa,1 (solamente yo),Servicios / Consultoría de Software / Digital,6347,8090,5998,675,280,"AIX,HP-UX,Kubernetes",VBA,Akka,"Google Cloud Storage,Teradata",Appium,TextMate,Descuento en gimnasios / Clases de gimnasia online
538,Córdoba,51-100,Servicios / Consultoría de Software / Digital,6411,9028,7841,2224,8501,"AIX,Kubernetes","Python,TypeScript,VBA","Spark,Torch",Google Cloud Storage,Cypress,Coda,
539,Mendoza,11-50,Servicios / Consultoría de Software / Digital,8316,2782,4920,1112,6688,"Azure,HP-UX,OpenStack,Serverless","C#,Groovy,Kotlin,PHP,Python","Node.js,TensorFlow","Amazon Redshift,Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server","Selenium,TFS,Xunit",Atom,Vacaciones flexibles (adicionales a las reglamentarias)
540,Río Negro,10001+,Servicios / Consultoría de Software / Digital,5893,700,6783,7697,7588,"Azure,*BSD,Linux",".NET,Assembler,C,C++,COBOL,Java,Perl,Rust,Smalltalk","Flask,Hadoop,Node.js,Spark","Amazon Redshift,Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server,Teradata","Karma,PHPUnit,Telerik Studio,Xunit","Emacs,WebStorm",Horarios flexibles
541,GBA,51-100,Servicios / Consultoría de Software / Digital,7103,6298,8889,6644,2823,Kubernetes,"ABAP,HTML","Angular,Hadoop,Rails",ProxySQL,HP LoadRunner,"Eclipse,Nano,TextMate,Xcode,Zend",Lactario en la oficina
542,Chaco,2001-5000,Servicios / Consultoría de Software / Digital,3619,4690,5963,5497,4489,"Docker,Heroku,Solaris",Delphi,".NET Core,Cordova,Node.js,SwiftUI",Redis,TFS,"Emacs,Sublime Text","Lactario en la oficina,Stock options / RSUs"
543,Santiago del Estero,1001-2000,Servicios / Consultoría de Software / Digital,2279,2921,5624,3961,8792,,"C++,C#,Smalltalk,Solidity,VBA","Akka,Hadoop,WordPress",,"NUnit,Silktest,Visual Studio Coded UI","Komodo,PHPStorm,Sublime Text","Capacitaciones y/o cursos,Clases de idiomas,Comidas pagas / subvencionadas"
544,San Luis,51-100,Servicios / Consultoría de Software / Digital,1182,5189,7547,7704,9234,"AIX,Google Cloud Platform/App Engine,Windows Server","Java,Ruby,Smalltalk","Drupal,React.js,SAP,Torch",Cassandra,"Selenium,Silktest","Atom,Emacs","Capacitaciones y/o cursos,Horarios flexibles"
545,Entre Ríos,101-200,Producto basado en Software,879,3440,8068,7617,1850,"AIX,Linux,OpenShift,SAP","C++,CSS,Groovy,Smalltalk,TypeScript",,"Amazon RDS/Aurora,Microsoft Azure (Tables, CosmosDB, SQL, etc)",Karma,"Emacs,Notepad++,PyCharm,Visual Studio",
546,Salta,10001+,Producto basado en Software,2045,5066,7151,9750,8806,Serverless,".NET,Python,Ruby,Rust,Scala",Hibernate,"Google Cloud Storage,IBM Db2,PostgreSQL,SQLite,Teradata","Cypress,HP UFT,Telerik Studio,Watir","Eclipse,Komodo,Sublime Text","Capacitaciones y/o cursos,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Viáticos"
547,San Luis,1 (solamente yo),Otras industrias,5246,7262,8742,8224,6146,HP-UX,"C#,COBOL,CSS,R,Rust,VBA",Cordova,"Amazon DynamoDB,Microsoft Azure (Tables, CosmosDB, SQL, etc),Neo4j,PostgreSQL","Puppeteer,Telerik Studio",Komodo,Viáticos
548,Provincia de Buenos Aires,201-500,Otras industrias,9622,1984,8590,6019,6122,"Amazon Web Services,OpenStack","Erlang,TypeScript","Bootstrap,Django,Rails,TensorFlow,WordPress","Amazon Redshift,Apache Hive,MariaDB","Jest,Ranorex","Coda,Emacs,IPython / Jupyter",
549,Misiones,501-1000,Otras industrias,2245,3777,2323,2366,6214,"Firebase,Mainframe",".NET,Arduino,C,PHP","Bootstrap,Rails","Amazon DynamoDB,Amazon Redshift",,,"Comidas pagas / subvencionadas,Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida"
550,Tierra del Fuego,5001-10000,Otras industrias,1242,3745,7143,1182,8950,,"Rust,Swift","Hadoop,Laravel,React.js,Spring,Torch","MariaDB,PostgreSQL","Cypress,Mocha,Telerik Studio,TFS,Watir","Sublime Text,Vi,WebStorm",
551,Santa Fe,5001-10000,Producto basado en Software,8828,1950,6602,8384,3736,,"Clojure,Delphi,VBA","Cordova,React.js,Spark",Apache Hive,"HP LoadRunner,Jest","IPython / Jupyter,Visual Studio,WebStorm,Xcode",
552,Catamarca,1001-2000,Servicios / Consultoría de Software / Digital,414,7457,3042,1930,5625,Arduino o similar,"C,Scala,TypeScript","Flask,SwiftUI,Spark","Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Jest,Karma,Ranorex",,"Abono de Internet,Horarios flexibles"
553,Chaco,51-100,Servicios / Consultoría de Software / Digital,8027,5314,7685,1446,3537,"Azure,VMWare","Assembler,Javascript,Scala","Hadoop,SAP","Apache Hive,Informix,MongoDB,Percona Server","NUnit,OpenQA,Postman,Selenium,TFS","Atom,PHPStorm",Estacionamiento gratuito / subvencionado
554,Neuquén,2001-5000,Producto basado en Software,1298,9209,8191,266,8095,OpenShift,"COBOL,Elixir,Erlang",Bootstrap,,"HP LoadRunner,HP UFT,OpenQA,Ranorex,TFS","Eclipse,Zend","Lactario en la oficina,Stock options / RSUs,Sueldo divido en dos pagos por mes"
555,Entre Ríos,5001-10000,Servicios / Consultoría de Software / Digital,411,9093,7154,1993,5902,"Amazon Web Services,Mainframe,Serverless","Go,HTML,Matlab,Ruby",".NET Core,Bootstrap,Spark,Symfony","Aerospike,Apache HBase,Google Cloud Storage,Percona XtraDB Cluster","NUnit,PHPUnit,Puppeteer,Selenium","Android Studio,IntelliJ,PHPStorm,RStudio",
556,Chaco,2001-5000,Servicios / Consultoría de Software / Digital,3048,5707,817,526,2361,"OpenShift,Windows Server","COBOL,Go,Erlang,Matlab,Smalltalk","Hadoop,Rails","Aerospike,Informix","Puppeteer,RSpec","Atom,Coda,NetBeans","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Licencia de paternidad / maternidad extendida"
557,La Rioja,101-200,Producto basado en Software,1281,4539,9209,5456,6305,"AIX,Arduino o similar,Docker,OpenStack,Serverless,VMWare","Delphi,Elixir","Django,Hibernate,TensorFlow,Torch",Percona XtraBackup,"JUnit,SoapUI","Notepad++,TextMate,Vim,Visual Studio,WebStorm","Sueldo divido en dos pagos por mes,Vacaciones flexibles (adicionales a las reglamentarias)"
558,Santa Fe,10001+,Producto basado en Software,459,3438,3782,7396,647,Amazon Web Services,"Arduino,Java,R","Bootstrap,Drupal,Torch","Microsoft Azure (Tables, CosmosDB, SQL, etc)",RSpec,RStudio,
559,Córdoba,11-50,Producto basado en Software,542,9319,9983,5477,7188,"AIX,Arduino o similar","ABAP,HTML,Java,Matlab,Perl,Python","Flutter,jQuery,React.js","Informix,Percona XtraDB Cluster","Postman,TFS","Nano,WebStorm","Abono de celular,Stock options / RSUs"
560,Ciudad Autónoma de Buenos Aires,11-50,Servicios / Consultoría de Software / Digital,7589,6207,3472,4371,8871,"Arduino o similar,Microcontroladores","Assembler,Erlang,Rust,Smalltalk,SQL,Swift","CodeIgniter,Laravel,Node.js,Symfony,Vue.js","IBM Db2,MongoDB,Percona Server,ProxySQL,Redis","HP LoadRunner,Mocha",,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
561,Río Negro,2-10,Otras industrias,9347,1138,8082,5244,4719,"Azure,Google Cloud Platform/App Engine,Heroku,OpenShift","Arduino,C,Java,Kotlin","CodeIgniter,Hibernate","Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc),Redis,SQLite","Jest,Karma,Katalon,Ranorex","Android Studio,Notepad++,PHPStorm,PyCharm,Vim","Abono de celular,Clases de idiomas,Estacionamiento gratuito / subvencionado"
562,Santiago del Estero,201-500,Producto basado en Software,6685,2750,9838,9044,6350,"HP-UX,OpenShift,VMWare","ABAP,Assembler,C,C#,COBOL,Kotlin,R","Bootstrap,Vue.js",,,"Sublime Text,WebStorm","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
563,Provincia de Buenos Aires,1001-2000,Producto basado en Software,4025,1946,4059,2416,317,"Azure,Microcontroladores","Arduino,C,Perl,PHP",,"Amazon RDS/Aurora,Cassandra","JUnit,OpenQA,Puppeteer,RSpec,Watir","Atom,Komodo,Visual Studio,Visual Studio Code,WebStorm","Abono de celular,Estacionamiento gratuito / subvencionado"
564,Santa Cruz,2-10,Producto basado en Software,7871,7219,2201,1080,6062,"OpenShift,OpenStack,VMWare","C++,Clojure,Kotlin,PHP,Smalltalk","Cordova,TensorFlow,Vue.js","Amazon DynamoDB,Apache HBase,Amazon RDS/Aurora,Google Cloud Storage,Percona Server","OpenQA,Selenium,Watir","Komodo,TextMate","Cuota para universidad / posgrados,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
565,GBA,201-500,Servicios / Consultoría de Software / Digital,9167,5795,5580,2370,9534,"Google Cloud Platform/App Engine,Windows Server",Swift,,"Cassandra,HANA,Percona XtraDB Cluster","Appium,Katalon,Watir",WebStorm,"Abono de Internet,Clases de idiomas"
566,Ciudad Autónoma de Buenos Aires,1001-2000,Servicios / Consultoría de Software / Digital,8763,2065,1492,2177,4414,"OpenShift,SAP",Solidity,"Django,Hadoop,Spark,Torch","Amazon RDS/Aurora,Apache Hive,HANA,IBM Db2,MariaDB,MongoDB,Redis","JUnit,Lippia,Visual Studio Coded UI","IPython / Jupyter,PHPStorm,WebStorm",Stock options / RSUs
567,Tucumán,501-1000,Servicios / Consultoría de Software / Digital,8506,9694,7960,9923,9730,"Azure,Docker,Microcontroladores,Serverless","Matlab,SQL",".NET Core,Hadoop,Laravel,SAP,TensorFlow","Amazon DynamoDB,Amazon Redshift,MySQL","Appium,Cucumber,JUnit,Silktest","Android Studio,Visual Studio Code","Descuento en gimnasios / Clases de gimnasia online,Viáticos"
568,Río Negro,201-500,Producto basado en Software,1555,5056,8037,1660,1417,"AIX,Arduino o similar","Bash/Shell,HTML,Kotlin,Perl",".NET Core,Akka,Django,Node.js,WordPress","Amazon DynamoDB,Amazon RDS/Aurora,Google Cloud Storage,MariaDB,PostgreSQL","NUnit,TFS","Komodo,Nano",Licencia de paternidad / maternidad extendida
569,Santa Fe,5001-10000,Producto basado en Software,8334,5269,9011,2791,8844,AIX,"Go,Kotlin","CodeIgniter,WordPress","Apache HBase,MariaDB,Percona Server,PostgreSQL",,"Eclipse,Visual Studio Code,WebStorm",Descuento en gimnasios / Clases de gimnasia online
570,Entre Ríos,5001-10000,Producto basado en Software,4944,2528,6631,8714,4118,"Azure,Firebase,Serverless","C#,Dart,SQL",,"Neo4j,ProxySQL,SQLite,Teradata","Karma,Puppeteer,Test Complete,TFS","Eclipse,Nano",Estacionamiento gratuito / subvencionado
571,Santiago del Estero,51-100,Otras industrias,4304,6375,2067,8742,4573,"Google Cloud Platform/App Engine,Linux","Javascript,Perl,R",Symfony,"Amazon RDS/Aurora,Microsoft SQL Server,Teradata",Watir,"Eclipse,IPython / Jupyter,Notepad++,Vim,WebStorm,Zend",
572,Tierra del Fuego,201-500,Otras industrias,5568,9560,7803,6896,1046,"AIX,Azure,Firebase,HP-UX,OpenShift","ABAP,Matlab",Bootstrap,Apache Hive,"HP UFT,Karma,Katalon,NUnit,Ranorex","Coda,TextMate,Visual Studio","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado"
573,Neuquén,201-500,Producto basado en Software,7715,8553,3932,9893,9439,"Kubernetes,Mainframe,Solaris","C#,COBOL,CSS,Delphi,Erlang,Java,Python",,"ElasticSearch,Google Cloud Storage","Appium,Mocha","NetBeans,Notepad++","Estacionamiento gratuito / subvencionado,Vacaciones flexibles (adicionales a las reglamentarias)"
574,Salta,1 (solamente yo),Otras industrias,1270,4778,3223,2273,571,,"Arduino,HTML,Matlab,Scala",".NET Core,Laravel,React.js,Spring,Symfony,TensorFlow,Vue.js","MySQL,Oracle,PostgreSQL","Cucumber,NUnit","IPython / Jupyter,Komodo,RStudio,Sublime Text",Stock options / RSUs
575,La Rioja,1 (solamente yo),Producto basado en Software,4501,2192,1857,4108,7238,,,"Angular,Bootstrap,Django,Flask,Rails,Symfony","Amazon Redshift,Informix","Lippia,Mocha,NUnit",Sublime Text,"Abono de Internet,Viáticos"
576,Misiones,2-10,Otras industrias,3349,1758,1811,167,8038,Docker,"Assembler,C#,TypeScript,VBA","Akka,Angular,Django,React.js,Spring","Microsoft Azure (Tables, CosmosDB, SQL, etc),MongoDB",RSpec,,Capacitaciones y/o cursos
577,San Juan,5001-10000,Otras industrias,7556,7528,8076,9064,6811,"Amazon Web Services,SAP","Assembler,Matlab,SQL,TypeScript",".NET Core,Drupal,Flask,Laravel,Torch","Amazon DynamoDB,Apache HBase,Google Cloud Storage,Informix,MySQL,Redis,SQLite","Test Complete,Visual Studio Coded UI",Atom,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
578,Santa Cruz,1001-2000,Servicios / Consultoría de Software / Digital,1801,1240,1006,312,3658,"AIX,Google Cloud Platform/App Engine,Linux,Mainframe",".NET,C,Clojure","Akka,Spark",Microsoft SQL Server,"Puppeteer,TFS","Eclipse,PyCharm,RStudio,Visual Studio","Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles"
579,Provincia de Buenos Aires,201-500,Producto basado en Software,7263,7589,3281,5198,4547,,"Groovy,Java,Python","Drupal,SwiftUI",Percona XtraDB Cluster,"Silktest,Telerik Studio","PHPStorm,Vi",Comidas pagas / subvencionadas
580,Catamarca,2001-5000,Producto basado en Software,4931,6816,131,1548,2520,"Amazon Web Services,Kubernetes,Windows Server","C++,Python","Bootstrap,Cordova","Oracle,PostgreSQL","Cucumber,Ranorex,SoapUI",Xcode,Abono de Internet
581,Salta,1 (solamente yo),Otras industrias,6438,7236,8771,1034,1647,"Linux,OpenStack,SAP,VMWare","Java,PHP",Spark,"Apache HBase,Percona XtraBackup","Cucumber,Puppeteer,Ranorex,Xunit","Nano,TextMate,Zend","Clases de idiomas,Viáticos"
582,Entre Ríos,1 (solamente yo),Servicios / Consultoría de Software / Digital,9192,1651,4551,5114,8085,"AIX,*BSD,Microcontroladores,Serverless,Windows Server","C,Go,Erlang,PHP,Solidity","CodeIgniter,Node.js,Spark","Amazon RDS/Aurora,Cassandra,Sybase","JUnit,Katalon,Ranorex,SoapUI,TFS","Nano,PyCharm,Vi","Clases de idiomas,Lactario en la oficina"
583,Santa Cruz,51-100,Producto basado en Software,6455,5551,6744,1521,7073,VMWare,"Clojure,Solidity","Bootstrap,Hibernate,Rails,SwiftUI","ElasticSearch,PostgreSQL,ProxySQL","Cypress,Jest,RSpec,Test Complete,Visual Studio Coded UI","Coda,Eclipse,Sublime Text","Abono de Internet,Horarios flexibles"
584,Jujuy,501-1000,Otras industrias,2237,2200,141,1898,6725,"HP-UX,Serverless","Arduino,Bash/Shell,Dart,Delphi,Go,Elixir,Javascript,Matlab,Objective-C,Perl,R",Akka,,"Cypress,Jest,PHPUnit,Silktest","Eclipse,Sublime Text,Vi","Abono de celular,Capacitaciones y/o cursos"
585,Formosa,1001-2000,Otras industrias,4034,9845,7092,42,3468,AIX,"Clojure,Ruby","Rails,Spring,Symfony,Vue.js","Apache Hive,Microsoft Azure (Tables, CosmosDB, SQL, etc)","HP LoadRunner,Postman,Silktest,TFS","IPython / Jupyter,WebStorm",Descuento en gimnasios / Clases de gimnasia online
586,Entre Ríos,2-10,Servicios / Consultoría de Software / Digital,7889,11,9864,369,1244,"Firebase,Mainframe","CSS,Javascript,Solidity","jQuery,Node.js,React.js,WordPress",ElasticSearch,"Ranorex,RSpec,SoapUI,Test Complete","Android Studio,PyCharm,TextMate","Estacionamiento gratuito / subvencionado,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
587,Santa Cruz,2-10,Otras industrias,4701,384,7018,124,4299,,"Delphi,Erlang","Akka,Cordova,React.js,SwiftUI,Spring","Neo4j,Percona XtraBackup,SQLite","Puppeteer,Ranorex",Vi,Vacaciones flexibles (adicionales a las reglamentarias)
588,GBA,101-200,Servicios / Consultoría de Software / Digital,4932,8147,6907,7865,23,,"Dart,Smalltalk,VBA",Torch,"Apache HBase,Google Cloud Storage","Cypress,Test Complete,Visual Studio Coded UI","Android Studio,NetBeans,PHPStorm,PyCharm,TextMate,Vi,Xcode","Clases de idiomas,Licencia de paternidad / maternidad extendida"
589,Santa Cruz,2-10,Otras industrias,7004,8212,4534,1781,5123,"AIX,*BSD,IBM Cloud / Watson","ABAP,COBOL,Delphi,Go,Groovy",.NET Core,Aerospike,"Cucumber,NUnit,Puppeteer","Komodo,PyCharm",
590,Chaco,1001-2000,Producto basado en Software,3611,8548,5402,9895,4126,"Amazon Web Services,VMWare",".NET,C,Objective-C",Laravel,"Percona XtraBackup,PostgreSQL,Sybase",,"Komodo,PyCharm",
591,Mendoza,1001-2000,Otras industrias,6272,1486,831,2067,8709,"Arduino o similar,HP-UX,VMWare,Windows Server","C++,COBOL,HTML","Cordova,Hibernate",MariaDB,"Lippia,OpenQA,Postman,Telerik Studio,Visual Studio Coded UI","IntelliJ,IPython / Jupyter,Sublime Text,TextMate","Cuota para universidad / posgrados,Licencia de paternidad / maternidad extendida"
592,Santa Fe,501-1000,Otras industrias,1776,2362,2476,4236,2621,"Arduino o similar,Docker,Google Cloud Platform/App Engine,Linux,VMWare",Scala,TensorFlow,Sybase,"Lippia,Mocha,Puppeteer,Watir",IntelliJ,
593,Chaco,2-10,Servicios / Consultoría de Software / Digital,3111,947,9262,3952,4397,"Microcontroladores,VMWare","Assembler,Bash/Shell,C,Go,Perl","Bootstrap,React.js,Symfony,TensorFlow","Google Cloud Storage,Microsoft SQL Server,SQLite","Ranorex,Test Complete","Eclipse,Notepad++",
594,San Juan,5001-10000,Otras industrias,2577,996,3907,744,4746,Windows Server,"Assembler,COBOL","Angular,Hibernate,Node.js,Rails,SAP",Apache Hive,"Cypress,Lippia,Xunit","Komodo,PyCharm,Vim,Visual Studio Code","Clases de idiomas,Sueldo divido en dos pagos por mes,Viáticos"
595,Chubut,5001-10000,Servicios / Consultoría de Software / Digital,3809,4538,1276,5789,1136,"*BSD,Linux","Elixir,Erlang,TypeScript,VBA","Django,Flutter,TensorFlow,WordPress","MongoDB,MySQL","HP UFT,Mocha","IPython / Jupyter,Sublime Text,Visual Studio Code","Cuota para universidad / posgrados,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Licencia de paternidad / maternidad extendida"
596,Río Negro,501-1000,Servicios / Consultoría de Software / Digital,5894,8404,1585,2883,9597,"Arduino o similar,Azure,HP-UX","HTML,VBA","Angular,Node.js,Spark",Neo4j,,Notepad++,
597,Santa Cruz,201-500,Producto basado en Software,8137,7112,7408,6688,7590,"*BSD,Microcontroladores","Bash/Shell,CSS,Java","Bootstrap,Laravel,Node.js,Rails,SwiftUI","Aerospike,Informix,Oracle",,"PyCharm,Vi,Visual Studio Code","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado,Viáticos"
598,Chubut,2001-5000,Producto basado en Software,3295,1766,8475,6683,3891,"Amazon Web Services,Arduino o similar,IBM Cloud / Watson,Serverless,VMWare","Objective-C,R,Scala,Swift","Bootstrap,Hadoop","Redis,SQLite","Katalon,RSpec,Telerik Studio,Test Complete,Watir",Atom,Licencia de paternidad / maternidad extendida
599,Tierra del Fuego,1 (solamente yo),Otras industrias,5194,3869,2384,9784,8301,"SAP,Windows Server","Assembler,C++,Ruby",Bootstrap,"Apache HBase,Apache Hive,IBM Db2,PostgreSQL",Silktest,Nano,Descuento en gimnasios / Clases de gimnasia online
600,La Rioja,5001-10000,Otras industrias,757,3617,4883,5952,199,"Amazon Web Services,Arduino o similar","PHP,VBA","Akka,Cordova,Rails,SAP,Vue.js","Amazon RDS/Aurora,ElasticSearch,HANA,Neo4j,PostgreSQL,Redis","Jest,Puppeteer,Xunit","Eclipse,PyCharm,Visual Studio",Sueldo divido en dos pagos por mes
601,Santiago del Estero,501-1000,Otras industrias,7179,1681,4325,5027,374,"Azure,VMWare","C++,Smalltalk","CodeIgniter,jQuery,React.js,SAP,Spring","Amazon RDS/Aurora,Google Cloud Storage,HANA,MariaDB,Percona XtraBackup,Percona XtraDB Cluster","Cucumber,HP LoadRunner,Mocha,Silktest,SoapUI","Android Studio,PHPStorm,Vi",Descuento en gimnasios / Clases de gimnasia online
602,Mendoza,1 (solamente yo),Otras industrias,2477,7933,4985,9947,2815,"Docker,Kubernetes,Windows Server","Assembler,C,Erlang","Akka,Flutter,Hadoop","Informix,ProxySQL",SoapUI,"Atom,Coda,Nano,Vim",
603,Neuquén,501-1000,Otras industrias,3858,4714,9185,9310,9065,"Firebase,SAP,VMWare","C#,Clojure,Go,HTML,Matlab","Flutter,React.js,SwiftUI","Apache Hive,IBM Db2,Neo4j,PostgreSQL,Redis","NUnit,Postman","Atom,Vim",Abono de Internet
604,Formosa,2001-5000,Servicios / Consultoría de Software / Digital,9995,9943,2953,3720,1772,Google Cloud Platform/App Engine,"Bash/Shell,Elixir,Javascript","Django,TensorFlow","IBM Db2,Redis",Xunit,Android Studio,
605,Provincia de Buenos Aires,10001+,Producto basado en Software,6440,9385,114,5758,6977,"Amazon Web Services,Docker,Heroku,OpenShift",".NET,ABAP,C,Java,Kotlin,Rust","CodeIgniter,Hadoop,Node.js,React.js",Redis,"HP LoadRunner,NUnit,OpenQA,PHPUnit","Android Studio,Nano,Vi,Vim",Cuota para universidad / posgrados
606,Misiones,2001-5000,Producto basado en Software,3678,9882,327,7112,3074,Firebase,"Assembler,Bash/Shell,CSS,Dart,Delphi,Java,Matlab,Ruby",".NET Core,Cordova,SwiftUI,TensorFlow","Amazon RDS/Aurora,Teradata","NUnit,Test Complete,Xunit",IntelliJ,
607,Santiago del Estero,201-500,Producto basado en Software,3158,5874,8118,3159,5771,"Microcontroladores,Windows Server","R,Swift,TypeScript","Drupal,Hadoop,Rails",,"Mocha,OpenQA,Postman,SoapUI,Xunit",NetBeans,"Abono de Internet,Vacaciones flexibles (adicionales a las reglamentarias),Viáticos"
608,San Juan,1 (solamente yo),Producto basado en Software,2478,2770,1954,6649,7611,"Heroku,Kubernetes,Linux,OpenStack",,"jQuery,TensorFlow","Google Cloud Storage,Microsoft Azure (Tables, CosmosDB, SQL, etc),ProxySQL,Redis","Jest,Postman,Ranorex,RSpec",,"Estacionamiento gratuito / subvencionado,Stock options / RSUs"
609,Chubut,501-1000,Servicios / Consultoría de Software / Digital,1605,8596,6462,3788,5750,"Google Cloud Platform/App Engine,OpenStack,SAP","ABAP,Delphi,Javascript","Angular,CodeIgniter,Node.js,WordPress","Amazon Redshift,Cassandra,MongoDB","JUnit,PHPUnit","Nano,Vi,Visual Studio Code","Capacitaciones y/o cursos,Viáticos"
610,Entre Ríos,11-50,Producto basado en Software,9765,3908,356,3954,2905,"*BSD,Google Cloud Platform/App Engine,IBM Cloud / Watson","Go,Erlang,Kotlin,Python,Smalltalk,SQL","Laravel,SAP","Microsoft Azure (Tables, CosmosDB, SQL, etc),Oracle,SQLite",Mocha,Zend,"Cuota para universidad / posgrados,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
611,Córdoba,1001-2000,Producto basado en Software,4805,45,702,7063,2866,AIX,"Assembler,C#,COBOL,Perl,PHP,Python,Solidity,SQL,TypeScript","Akka,Cordova,Rails","ElasticSearch,Neo4j","Cucumber,Cypress,OpenQA,SoapUI,Xunit",Nano,"Descuento en gimnasios / Clases de gimnasia online,Comidas pagas / subvencionadas"
612,Chaco,501-1000,Producto basado en Software,2195,6607,9554,7366,6745,Windows Server,"Bash/Shell,Go,HTML,Matlab,VBA","Drupal,Spring",HANA,Postman,"Eclipse,Komodo,Nano","Estacionamiento gratuito / subvencionado,Lactario en la oficina"
613,Misiones,2001-5000,Servicios / Consultoría de Software / Digital,7685,6669,4460,6802,1619,"IBM Cloud / Watson,Kubernetes,Microcontroladores,Windows Server","C++,CSS,Groovy,Swift","Cordova,Symfony","Amazon RDS/Aurora,Google Cloud Storage,MongoDB,Teradata","Appium,RSpec","IPython / Jupyter,Zend","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina"
